 ,  ,performance
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9285714285714286
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8888888888888888
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8333333333333334
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.875
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8888888888888888
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8571428571428571
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9166666666666666
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9
0:00,precision,0.0
0:00,recall,0.0
0:00,savedEffort,1.0
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9166666666666666
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9230769230769231
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.875
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8333333333333334
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.75
0:00,precision,0.2
0:00,recall,1.0
0:00,savedEffort,0.0
0:00,precision,0.3333333333333333
0:00,recall,1.0
0:00,savedEffort,0.5
0:00,precision,0.0
0:00,recall,0.0
0:00,savedEffort,1.0
0:00,precision,0.0
0:00,recall,0.0
0:00,savedEffort,1.0
0:00,precision,1.0
0:00,recall,0.3333333333333333
0:00,savedEffort,0.8
0:00,precision,1.0
0:00,recall,0.3333333333333333
0:00,savedEffort,0.8
0:00,precision,0.0
0:00,recall,0.0
0:00,savedEffort,1.0
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.5714285714285714
0:00,precision,0.0
0:00,recall,0.0
0:00,savedEffort,1.0
0:00,precision,0.0
0:00,recall,0.0
0:00,savedEffort,1.0
0:00,precision,1.0
0:00,recall,1.0
